date,state,prediction,predicted_delta_12,lag_12,value,baseline
2019-12-01,new_york,894.7448559670783,40.37448559670783,854.3703703703704,685.0,751.0
2019-12-01,north_carolina,713.4663923182443,54.04663923182443,659.4197530864199,755.0,564.0
2019-12-01,north_dakota,1321.358024691358,105.1358024691358,1216.2222222222222,1051.0,1019.0
2019-12-01,ohio,312.5390946502058,25.35390946502058,287.1851851851852,305.0,242.0
2019-12-01,oklahoma,2475.9629629629626,214.29629629629628,2261.6666666666665,2660.0,1872.0
2019-12-01,oregon,734.9094650205761,58.39094650205761,676.5185185185185,345.0,598.0
2019-12-01,pacific_contiguous,5620.711934156378,328.97119341563786,5291.740740740741,3624.0,4773.0
2019-12-01,pacific_noncontiguous,136.74622770919066,9.474622770919067,127.27160493827161,109.0,114.0
2019-12-01,pennsylvania,800.3484224965706,37.43484224965706,762.9135802469135,531.0,667.0
2019-12-01,rhode_island,34.93552812071331,2.2935528120713307,32.641975308641975,43.0,29.0
2019-12-01,south_atlantic,2979.659807956104,166.1659807956104,2813.4938271604938,2940.0,2524.0
2019-12-01,south_carolina,209.6652949245542,8.566529492455418,201.09876543209876,250.0,192.0
2019-12-01,south_dakota,557.8751714677641,50.88751714677641,506.9876543209877,321.0,414.0
2019-12-01,tennessee,99.99588477366257,1.6995884773662562,98.2962962962963,101.0,94.0
2019-12-01,texas,7055.957475994513,518.8957475994513,6537.061728395061,7724.0,5590.0
2019-12-01,utah,347.5514403292181,28.255144032921812,319.2962962962963,182.0,264.0
2019-12-01,vermont,84.14540466392317,4.6145404663923175,79.53086419753086,93.0,71.0
2019-12-01,virginia,463.2962962962963,25.629629629629633,437.6666666666667,351.0,398.0
2019-12-01,washington,1017.4128943758574,70.14128943758573,947.2716049382716,393.0,855.0
2019-12-01,west_north_central,9318.26611796982,721.4266117969821,8596.839506172839,8244.0,7227.0
2019-12-01,west_south_central,9885.351165980797,736.6351165980798,9148.716049382718,10678.0,7813.0
2019-12-01,west_virginia,283.0644718792867,19.70644718792867,263.358024691358,156.0,222.0
2019-12-01,wisconsin,394.0754458161866,19.507544581618657,374.5679012345679,326.0,335.0
2019-12-01,wyoming,690.9698216735254,31.79698216735254,659.1728395061729,365.0,563.0
2020-01-01,alabama,296.9012345679012,7.790123456790121,289.1111111111111,307.0,288.0
2020-01-01,alaska,20.438957475994513,2.0438957475994517,18.395061728395063,14.0,15.0
2020-01-01,arizona,415.4156378600823,39.34156378600823,376.0740740740741,404.0,306.0
